onset	duration	trial_type	rewards
14	0	options_solo	  n/a
24.431	0	decision_risky_solo	   -7
33.481341	0	outcome_self_pos_solo	    0
42.05451	0	options_partner	  -30
45.05451	0	decision_safe_partner	  -30
50.844556	0	outcome_safe_partner	  -30
53.37987	0	happiness_rating	   20
70.876517	0	options_partner	  n/a
73.876517	0	decision_risky_partner	 31.5
79.59948	0	outcome_other_pos_partner	    0
85.170745	0	options_social	  -10
95.878745	0	decision_safe_social	  -10
104.935943	0	outcome_safe_social	  -10
107.471103	0	happiness_rating	   24
122.382431	0	options_social	   15
130.542431	0	decision_safe_social	   15
137.594094	0	outcome_safe_social	   15
145.166206	0	options_partner	  n/a
148.166206	0	decision_risky_partner	    4
152.989126	0	outcome_other_neg_partner	    0
155.524408	0	happiness_rating	   22
162.112734	0	options_solo	  -30
172.214734	0	decision_safe_solo	  -30
181.260715	0	outcome_safe_solo	  -30
187.83234	0	options_social	  -30
191.88634	0	decision_safe_social	  -30
199.941695	0	outcome_safe_social	  -30
202.476901	0	happiness_rating	   22
211.700605	0	options_solo	  n/a
218.326605	0	decision_risky_solo	  -18
224.37697	0	outcome_self_neg_solo	    0
230.948615	0	options_partner	  -15
233.948615	0	decision_safe_partner	  -15
239.321598	0	outcome_safe_partner	  -15
241.856962	0	happiness_rating	   24
251.380856	0	options_solo	  n/a
257.493856	0	decision_risky_solo	    8
263.5402	0	outcome_self_pos_solo	    0
270.111475	0	options_solo	  n/a
274.597475	0	decision_risky_solo	  2.5
282.654704	0	outcome_self_neg_solo	    0
285.19001	0	happiness_rating	   24
295.848147	0	options_social	  n/a
303.718147	0	decision_risky_social	  -21
311.776967	0	outcome_other_neg_social	    0
324.353197	0	options_social	  n/a
330.917197	0	decision_risky_social	-13.5
341.95007	0	outcome_other_neg_social	    0
344.485239	0	happiness_rating	   22
353.908801	0	options_social	  n/a
358.165801	0	decision_risky_social	    6
366.218522	0	outcome_other_pos_social	    0
374.791666	0	options_solo	  n/a
379.925666	0	decision_risky_solo	   16
391.954839	0	outcome_self_pos_solo	    0
394.490037	0	happiness_rating	   22
401.278573	0	options_solo	  n/a
408.061573	0	decision_risky_solo	    3
418.108093	0	outcome_self_neg_solo	    0
424.679714	0	options_solo	  n/a
430.836714	0	decision_risky_solo	   75
439.891403	0	outcome_self_pos_solo	    0
442.426617	0	happiness_rating	   20
449.982363	0	options_social	    0
455.828363	0	decision_safe_social	    0
464.86045	0	outcome_safe_social	    0
475.43511	0	options_partner	  n/a
478.43511	0	decision_risky_partner	   11
483.774843	0	outcome_other_neg_partner	    0
486.310099	0	happiness_rating	   26
498.703081	0	options_solo	    0
504.877081	0	decision_safe_solo	    0
514.931572	0	outcome_safe_solo	    0
522.504325	0	options_social	  n/a
526.956325	0	decision_risky_social	    6
539.000294	0	outcome_other_neg_social	    0
541.535536	0	happiness_rating	   16
554.612289	0	options_partner	  n/a
557.612289	0	decision_risky_partner	   11
562.701416	0	outcome_other_neg_partner	    0
570.273856	0	options_partner	  -25
573.273856	0	decision_safe_partner	  -25
577.72984	0	outcome_safe_partner	  -25
580.26516	0	happiness_rating	   20
589.521821	0	options_partner	  n/a
592.521821	0	decision_risky_partner	   25
596.777281	0	outcome_other_pos_partner	    0
605.350913	0	options_social	  -15
612.531913	0	decision_safe_social	  -15
619.57841	0	outcome_safe_social	  -15
622.113762	0	happiness_rating	   20
