onset	duration	trial_type	rewards
18	0	options_solo	  n/a
21.658	0	decision_risky_solo	  -17
27.707562	0	outcome_self_pos_solo	    0
36.280694	0	options_social	  n/a
41.233694	0	decision_risky_social	  -25
52.275979	0	outcome_other_pos_social	    0
54.811493	0	happiness_rating	   12
64.652417	0	options_partner	    0
67.652417	0	decision_safe_partner	    0
71.791104	0	outcome_safe_partner	    0
80.364367	0	options_social	   30
84.505367	0	decision_safe_social	   30
92.556963	0	outcome_safe_social	   30
95.092253	0	happiness_rating	   22
102.047612	0	options_social	  -30
107.193612	0	decision_safe_social	  -30
114.240334	0	outcome_safe_social	  -30
120.811872	0	options_social	  -25
125.865872	0	decision_safe_social	  -25
134.922467	0	outcome_safe_social	  -25
137.457992	0	happiness_rating	   16
143.479269	0	options_social	  n/a
147.953269	0	decision_risky_social	   13
157.006255	0	outcome_other_pos_social	    0
166.58017	0	options_partner	    0
169.58017	0	decision_safe_partner	    0
173.752341	0	outcome_safe_partner	    0
176.287576	0	happiness_rating	   26
184.443544	0	options_partner	  -10
187.443544	0	decision_safe_partner	  -10
191.265707	0	outcome_safe_partner	  -10
197.837103	0	options_partner	  n/a
200.837103	0	decision_risky_partner	   10
204.525832	0	outcome_other_pos_partner	    0
207.06108	0	happiness_rating	   10
212.398518	0	options_solo	  -30
219.849518	0	decision_safe_solo	  -30
231.880046	0	outcome_safe_solo	  -30
239.452487	0	options_partner	    0
242.452487	0	decision_safe_partner	    0
246.074219	0	outcome_safe_partner	    0
248.609454	0	happiness_rating	   16
254.680942	0	options_partner	  n/a
257.680942	0	decision_risky_partner	   28
261.402546	0	outcome_other_neg_partner	    0
271.977363	0	options_solo	  -10
275.689363	0	decision_safe_solo	  -10
286.721997	0	outcome_safe_solo	  -10
289.257146	0	happiness_rating	    1
295.728825	0	options_social	  -15
299.144825	0	decision_safe_social	  -15
306.203561	0	outcome_safe_social	  -15
313.775633	0	options_partner	  n/a
316.775633	0	decision_risky_partner	 -8.5
320.948083	0	outcome_other_pos_partner	    0
323.483349	0	happiness_rating	   24
331.18928	0	options_solo	  n/a
337.43228	0	decision_risky_solo	   15
350.470669	0	outcome_self_pos_solo	    0
358.043075	0	options_solo	  -25
362.145075	0	decision_safe_solo	  -25
369.201661	0	outcome_safe_solo	  -25
371.736903	0	happiness_rating	    1
