onset	duration	trial_type	rewards
16	0	options_solo	  n/a
18.947	0	decision_risky_solo	 -4.5
27.992528	0	outcome_self_neg_solo	    0
37.566418	0	options_social	  n/a
41.426418	0	decision_risky_social	   18
47.474037	0	outcome_other_neg_social	    0
50.00922	0	happiness_rating	   50
60.417223	0	options_social	  n/a
63.034223	0	decision_risky_social	   -2
73.093746	0	outcome_other_neg_social	    0
83.668238	0	options_partner	  n/a
86.668238	0	decision_risky_partner	   75
92.524893	0	outcome_other_neg_partner	    0
95.060228	0	happiness_rating	   50
102.782955	0	options_partner	  n/a
105.782955	0	decision_risky_partner	   28
110.021613	0	outcome_other_pos_partner	    0
118.594998	0	options_solo	  -25
121.537998	0	decision_safe_solo	  -25
128.585811	0	outcome_safe_solo	  -25
131.121056	0	happiness_rating	   38
139.594148	0	options_partner	    0
142.594148	0	decision_safe_partner	    0
148.117342	0	outcome_safe_partner	    0
157.691426	0	options_solo	  -30
163.506426	0	decision_safe_solo	  -30
172.552847	0	outcome_safe_solo	  -30
175.087867	0	happiness_rating	   34
182.860919	0	options_partner	  -20
185.860919	0	decision_safe_partner	  -20
190.049257	0	outcome_safe_partner	  -20
200.624199	0	options_solo	   25
204.466199	0	decision_safe_solo	   25
214.517944	0	outcome_safe_solo	   25
217.053154	0	happiness_rating	   40
230.046448	0	options_social	  -15
234.081448	0	decision_safe_social	  -15
244.140672	0	outcome_safe_social	  -15
255.715944	0	options_solo	  n/a
258.505944	0	decision_risky_solo	    1
268.559113	0	outcome_self_pos_solo	    0
271.094316	0	happiness_rating	   38
278.916984	0	options_solo	  n/a
282.376984	0	decision_risky_solo	  1.5
292.427302	0	outcome_self_neg_solo	    0
303.001978	0	options_solo	  n/a
304.864978	0	decision_risky_solo	  1.5
313.926937	0	outcome_self_neg_solo	    0
316.46219	0	happiness_rating	   46
328.571402	0	options_partner	  n/a
331.571402	0	decision_risky_partner	   21
335.660162	0	outcome_other_neg_partner	    0
343.232574	0	options_solo	  -20
347.544574	0	decision_safe_solo	  -20
353.590558	0	outcome_safe_solo	  -20
356.125704	0	happiness_rating	   40
368.501848	0	options_social	  n/a
373.656848	0	decision_risky_social	    1
380.7112	0	outcome_other_pos_social	    0
392.286628	0	options_partner	    0
395.286628	0	decision_safe_partner	    0
399.608815	0	outcome_safe_partner	    0
402.144065	0	happiness_rating	   38
409.16608	0	options_solo	  -15
413.10408	0	decision_safe_solo	  -15
423.160162	0	outcome_safe_solo	  -15
432.734064	0	options_social	  n/a
437.760064	0	decision_risky_social	-13.5
444.810004	0	outcome_other_neg_social	    0
447.345205	0	happiness_rating	   38
457.119201	0	options_solo	  n/a
459.152201	0	decision_risky_solo	   -1
465.208806	0	outcome_self_neg_solo	    0
471.780474	0	options_social	  n/a
474.760474	0	decision_risky_social	   25
484.807269	0	outcome_other_neg_social	    0
487.342284	0	happiness_rating	   42
498.684643	0	options_partner	  -10
501.684643	0	decision_safe_partner	  -10
505.939802	0	outcome_safe_partner	  -10
511.510858	0	options_social	  -30
514.855858	0	decision_safe_social	  -30
528.890615	0	outcome_safe_social	  -30
531.425817	0	happiness_rating	   40
542.684446	0	options_social	  -25
547.967446	0	decision_safe_social	  -25
556.028008	0	outcome_safe_social	  -25
565.601855	0	options_solo	  n/a
568.055855	0	decision_risky_solo	   21
578.11149	0	outcome_self_neg_solo	    0
580.646638	0	happiness_rating	   42
591.3383	0	options_partner	  -25
594.3383	0	decision_safe_partner	  -25
598.376769	0	outcome_safe_partner	  -25
605.94946	0	options_social	  n/a
610.29546	0	decision_risky_social	   75
620.343515	0	outcome_other_pos_social	    0
622.878753	0	happiness_rating	   32
630.684789	0	options_social	  n/a
633.935789	0	decision_risky_social	 33.5
640.992624	0	outcome_other_pos_social	    0
649.565741	0	options_social	  -15
653.126741	0	decision_safe_social	  -15
659.173168	0	outcome_safe_social	  -15
661.708324	0	happiness_rating	   32
669.347501	0	options_social	  n/a
671.911501	0	decision_risky_social	   -1
682.957959	0	outcome_other_pos_social	    0
692.531803	0	options_solo	   15
695.894803	0	decision_safe_solo	   15
706.942833	0	outcome_safe_solo	   15
709.478003	0	happiness_rating	   34
720.73705	0	options_solo	  -20
725.31105	0	decision_safe_solo	  -20
731.361594	0	outcome_safe_solo	  -20
736.932312	0	options_partner	  -20
739.932312	0	decision_safe_partner	  -20
747.673751	0	outcome_safe_partner	  -20
750.209047	0	happiness_rating	   26
759.799821	0	options_partner	  -10
762.799821	0	decision_safe_partner	  -10
767.02179	0	outcome_safe_partner	  -10
773.593545	0	options_social	  n/a
776.838545	0	decision_risky_social	    8
784.885447	0	outcome_other_neg_social	    0
787.420664	0	happiness_rating	   36
792.307971	0	options_solo	  -10
795.165971	0	decision_safe_solo	  -10
801.214654	0	outcome_safe_solo	  -10
807.78618	0	options_social	   15
811.91818	0	decision_safe_social	   15
819.978849	0	outcome_safe_social	   15
822.513942	0	happiness_rating	   40
830.036436	0	options_solo	  n/a
833.278436	0	decision_risky_solo	   54
842.329208	0	outcome_self_neg_solo	    0
849.901587	0	options_social	  n/a
852.494587	0	decision_risky_social	  1.5
863.545367	0	outcome_other_pos_social	    0
866.080568	0	happiness_rating	   34
874.937686	0	options_solo	  n/a
877.981686	0	decision_risky_solo	 23.5
890.032275	0	outcome_self_neg_solo	    0
897.604545	0	options_partner	  n/a
900.604545	0	decision_risky_partner	 23.5
904.426352	0	outcome_other_neg_partner	    0
906.961628	0	happiness_rating	   50
916.969268	0	options_partner	  -20
919.969268	0	decision_safe_partner	  -20
924.441601	0	outcome_safe_partner	  -20
937.018053	0	options_solo	  -30
940.094053	0	decision_safe_solo	  -30
948.143205	0	outcome_safe_solo	  -30
950.678265	0	happiness_rating	   40
962.237323	0	options_solo	  n/a
964.845323	0	decision_risky_solo	  -20
973.896168	0	outcome_self_neg_solo	    0
983.469895	0	options_social	  n/a
986.300895	0	decision_risky_social	   42
999.348699	0	outcome_other_neg_social	    0
1001.883849	0	happiness_rating	   44
1012.675455	0	options_solo	   15
1015.469455	0	decision_safe_solo	   15
1028.50419	0	outcome_safe_solo	   15
1037.077325	0	options_partner	  n/a
1040.077325	0	decision_risky_partner	 23.5
1044.332812	0	outcome_other_pos_partner	    0
1046.868115	0	happiness_rating	   40
1057.376128	0	options_social	  -15
1060.085128	0	decision_safe_social	  -15
1066.132836	0	outcome_safe_social	  -15
1072.704461	0	options_partner	  n/a
1075.704461	0	decision_risky_partner	  1.5
1080.893966	0	outcome_other_neg_partner	    0
1083.429263	0	happiness_rating	   42
1091.001918	0	options_partner	  n/a
1094.001918	0	decision_risky_partner	   50
1098.140466	0	outcome_other_pos_partner	    0
1110.716871	0	options_partner	  n/a
1113.716871	0	decision_risky_partner	  4.5
1118.239117	0	outcome_other_neg_partner	    0
