onset	duration	trial_type	rewards
19	0	options_social	  n/a
25.765	0	decision_risky_social	 62.5
33.811279	0	outcome_other_neg_social	    0
44.385973	0	options_social	  -15
51.268973	0	decision_safe_social	  -15
59.314073	0	outcome_safe_social	  -15
61.849245	0	happiness_rating	   44
73.425023	0	options_solo	  -30
80.733023	0	decision_safe_solo	  -30
88.786629	0	outcome_safe_solo	  -30
99.361146	0	options_social	   20
106.533146	0	decision_safe_social	   20
116.591033	0	outcome_safe_social	   20
119.126174	0	happiness_rating	   32
128.550252	0	options_partner	   10
131.550252	0	decision_safe_partner	   10
135.855565	0	outcome_safe_partner	   10
143.42826	0	options_partner	  n/a
146.42826	0	decision_risky_partner	   10
150.349949	0	outcome_other_pos_partner	    0
152.885204	0	happiness_rating	   42
163.176563	0	options_partner	  n/a
166.176563	0	decision_risky_partner	   25
170.898916	0	outcome_other_pos_partner	    0
177.47077	0	options_solo	   30
184.10877	0	decision_safe_solo	   30
192.165076	0	outcome_safe_solo	   30
194.700366	0	happiness_rating	   40
202.773181	0	options_social	    0
206.476181	0	decision_safe_social	    0
216.533665	0	outcome_safe_social	    0
223.105213	0	options_partner	  n/a
226.105213	0	decision_risky_partner	   21
230.110671	0	outcome_other_pos_partner	    0
232.645887	0	happiness_rating	   34
246.856927	0	options_solo	  n/a
252.331927	0	decision_risky_solo	   21
261.384672	0	outcome_self_pos_solo	    0
270.958401	0	options_partner	  n/a
273.958401	0	decision_risky_partner	 39.5
277.796904	0	outcome_other_neg_partner	    0
280.332238	0	happiness_rating	   30
289.922906	0	options_social	    0
294.651906	0	decision_safe_social	    0
307.686465	0	outcome_safe_social	    0
315.258806	0	options_solo	  -25
319.755806	0	decision_safe_solo	  -25
328.802443	0	outcome_safe_solo	  -25
331.337643	0	happiness_rating	   28
338.242981	0	options_partner	  n/a
341.242981	0	decision_risky_partner	   10
345.815335	0	outcome_other_neg_partner	    0
359.39266	0	options_social	  -10
363.40366	0	decision_safe_social	  -10
372.452285	0	outcome_safe_social	  -10
374.987581	0	happiness_rating	   30
383.210548	0	options_social	    0
389.163548	0	decision_safe_social	    0
396.22032	0	outcome_safe_social	    0
406.795	0	options_solo	  -10
412.627	0	decision_safe_solo	  -10
421.673124	0	outcome_safe_solo	  -10
424.208318	0	happiness_rating	   28
433.599059	0	options_partner	   10
436.599059	0	decision_safe_partner	   10
440.504035	0	outcome_safe_partner	   10
449.077311	0	options_social	   15
455.946311	0	decision_safe_social	   15
465.006178	0	outcome_safe_social	   15
467.541275	0	happiness_rating	   32
476.83174	0	options_solo	  n/a
487.00274	0	decision_risky_solo	    8
495.062293	0	outcome_self_neg_solo	    0
504.636241	0	options_social	   25
512.722241	0	decision_safe_social	   25
522.783415	0	outcome_safe_social	   25
525.318623	0	happiness_rating	   40
531.857157	0	options_social	  -30
538.722157	0	decision_safe_social	  -30
546.768388	0	outcome_safe_social	  -30
554.340662	0	options_solo	  -25
559.850662	0	decision_safe_solo	  -25
569.902597	0	outcome_safe_solo	  -25
572.437756	0	happiness_rating	   22
586.01513	0	options_solo	  n/a
590.95413	0	decision_risky_solo	   21
597.00663	0	outcome_self_pos_solo	    0
605.579657	0	options_partner	  n/a
608.579657	0	decision_risky_partner	 18.5
612.5683	0	outcome_other_pos_partner	    0
615.103585	0	happiness_rating	   18
629.481251	0	options_social	  -10
633.682251	0	decision_safe_social	  -10
646.727816	0	outcome_safe_social	  -10
660.287824	0	options_partner	  -25
663.287824	0	decision_safe_partner	  -25
667.126502	0	outcome_safe_partner	  -25
669.661724	0	happiness_rating	   18
680.503595	0	options_partner	  n/a
683.503595	0	decision_risky_partner	    7
687.375268	0	outcome_other_neg_partner	    0
695.948656	0	options_social	  n/a
701.705656	0	decision_risky_social	  -42
709.758926	0	outcome_other_pos_social	    0
712.294204	0	happiness_rating	   28
719.466371	0	options_social	  n/a
725.521371	0	decision_risky_social	-27.5
738.564359	0	outcome_other_pos_social	    0
751.123714	0	options_partner	   25
754.123714	0	decision_safe_partner	   25
758.212455	0	outcome_safe_partner	   25
760.747736	0	happiness_rating	   30
768.303499	0	options_solo	  -20
781.681499	0	decision_safe_solo	  -20
793.739634	0	outcome_safe_solo	  -20
801.311909	0	options_solo	  n/a
806.448909	0	decision_risky_solo	  -18
813.504654	0	outcome_self_neg_solo	    0
816.039813	0	happiness_rating	   30
821.293929	0	options_partner	  n/a
824.293929	0	decision_risky_partner	 52.5
