onset	duration	trial_type	rewards
16	0	options_partner	  -15
19	0	decision_safe_partner	  -15
23.906053	0	outcome_safe_partner	  -15
32.479463	0	options_solo	   10
40.697463	0	decision_safe_solo	   10
49.759058	0	outcome_safe_solo	   10
52.294341	0	happiness_rating	   51
63.469553	0	options_solo	  n/a
74.561553	0	decision_risky_solo	  -21
82.617416	0	outcome_self_neg_solo	    0
93.192189	0	options_partner	  -30
96.192189	0	decision_safe_partner	  -30
101.148265	0	outcome_safe_partner	  -30
103.683545	0	happiness_rating	   51
112.857602	0	options_solo	  n/a
121.984602	0	decision_risky_solo	   22
132.038623	0	outcome_self_pos_solo	    0
142.613207	0	options_partner	   30
145.613207	0	decision_safe_partner	   30
150.085567	0	outcome_safe_partner	   30
152.620795	0	happiness_rating	   51
166.448255	0	options_social	  n/a
175.104255	0	decision_risky_social	 33.5
186.163241	0	outcome_other_neg_social	    0
193.735504	0	options_solo	  n/a
200.584504	0	decision_risky_solo	   16
209.631026	0	outcome_self_neg_solo	    0
212.166229	0	happiness_rating	   51
223.007797	0	options_solo	  n/a
229.448797	0	decision_risky_solo	  -31
241.505364	0	outcome_self_pos_solo	    0
255.082244	0	options_social	  n/a
265.112244	0	decision_risky_social	  -22
279.150693	0	outcome_other_pos_social	    0
281.6859	0	happiness_rating	   26
290.709428	0	options_solo	  -30
295.168428	0	decision_safe_solo	  -30
306.221384	0	outcome_safe_solo	  -30
319.798207	0	options_solo	  n/a
326.384207	0	decision_risky_solo	   21
335.443589	0	outcome_self_pos_solo	    0
337.978784	0	happiness_rating	   34
353.690754	0	options_solo	   20
363.543754	0	decision_safe_solo	   20
369.602957	0	outcome_safe_solo	   20
379.176765	0	options_solo	  n/a
387.807765	0	decision_risky_solo	   54
398.85858	0	outcome_self_neg_solo	    0
401.393787	0	happiness_rating	   51
412.535821	0	options_partner	  n/a
415.535821	0	decision_risky_partner	   22
420.658509	0	outcome_other_neg_partner	    0
429.231943	0	options_social	  n/a
434.431943	0	decision_risky_social	   18
447.478979	0	outcome_other_pos_social	    0
450.014218	0	happiness_rating	   32
458.020321	0	options_social	  n/a
468.007321	0	decision_risky_social	  -28
482.055298	0	outcome_other_pos_social	    0
487.626223	0	options_social	  n/a
494.727223	0	decision_risky_social	  -11
506.774193	0	outcome_other_neg_social	    0
509.309384	0	happiness_rating	   36
518.866726	0	options_solo	  n/a
526.367726	0	decision_risky_solo	 -4.5
539.399096	0	outcome_self_pos_solo	    0
544.969921	0	options_partner	  -10
547.969921	0	decision_safe_partner	  -10
552.175409	0	outcome_safe_partner	  -10
554.710748	0	happiness_rating	   32
562.767062	0	options_partner	  -10
565.767062	0	decision_safe_partner	  -10
570.656189	0	outcome_safe_partner	  -10
577.227822	0	options_social	  n/a
583.222822	0	decision_risky_social	  1.5
595.274994	0	outcome_other_pos_social	    0
597.810184	0	happiness_rating	   26
610.553254	0	options_solo	  n/a
615.327254	0	decision_risky_solo	   31
623.379732	0	outcome_self_neg_solo	    0
631.952902	0	options_social	  -30
640.222902	0	decision_safe_social	  -30
649.282822	0	outcome_safe_social	  -30
651.818052	0	happiness_rating	   32
659.307142	0	options_partner	  n/a
662.307142	0	decision_risky_partner	   22
668.147177	0	outcome_other_pos_partner	    0
677.721151	0	options_social	  n/a
683.647151	0	decision_risky_social	-27.5
695.701644	0	outcome_other_pos_social	    0
698.23674	0	happiness_rating	   32
707.560522	0	options_solo	  n/a
711.790522	0	decision_risky_solo	    3
722.838878	0	outcome_self_neg_solo	    0
734.414378	0	options_social	  n/a
739.182378	0	decision_risky_social	  1.5
747.240765	0	outcome_other_neg_social	    0
749.776044	0	happiness_rating	   36
760.150764	0	options_social	  n/a
764.334764	0	decision_risky_social	  4.5
775.395777	0	outcome_other_neg_social	    0
787.971863	0	options_partner	  -20
