onset	duration	trial_type	rewards
18	0	options_solo	  n/a
30.226	0	decision_risky_solo	   17
38.282192	0	outcome_self_pos_solo	    0
46.855261	0	options_solo	  n/a
54.426261	0	decision_risky_solo	   21
62.483936	0	outcome_self_neg_solo	    0
65.01914	0	happiness_rating	   28
80.547776	0	options_solo	    0
90.409776	0	decision_safe_solo	    0
99.46216	0	outcome_safe_solo	    0
111.037463	0	options_social	  -10
123.905463	0	decision_safe_social	  -10
130.95266	0	outcome_safe_social	  -10
133.487882	0	happiness_rating	   26
141.294049	0	options_partner	  n/a
144.294049	0	decision_risky_partner	  4.5
149.566855	0	outcome_other_neg_partner	    0
156.138657	0	options_solo	  n/a
162.353657	0	decision_risky_solo	-12.5
170.399452	0	outcome_self_pos_solo	    0
172.934564	0	happiness_rating	   20
183.742828	0	options_solo	  n/a
187.281828	0	decision_risky_solo	    6
195.334945	0	outcome_self_neg_solo	    0
206.91049	0	options_solo	  n/a
213.46549	0	decision_risky_solo	  -15
221.52158	0	outcome_self_neg_solo	    0
224.056869	0	happiness_rating	   28
231.696086	0	options_partner	  n/a
234.696086	0	decision_risky_partner	   18
238.851462	0	outcome_other_neg_partner	    0
244.422369	0	options_social	   20
250.440369	0	decision_safe_social	   20
261.502131	0	outcome_safe_social	   20
264.03727	0	happiness_rating	   30
272.460346	0	options_social	  n/a
279.161346	0	decision_risky_social	-16.5
288.22244	0	outcome_other_pos_social	    0
300.798581	0	options_partner	  n/a
303.798581	0	decision_risky_partner	 47.5
307.670465	0	outcome_other_pos_partner	    0
310.205725	0	happiness_rating	   30
318.962391	0	options_social	  -10
322.888391	0	decision_safe_social	  -10
336.926052	0	outcome_safe_social	  -10
347.500705	0	options_social	  n/a
351.888705	0	decision_risky_social	 24.5
360.94439	0	outcome_other_pos_social	    0
363.479657	0	happiness_rating	   32
374.40463	0	options_social	  n/a
381.20063	0	decision_risky_social	  -18
389.24931	0	outcome_other_pos_social	    0
395.820893	0	options_solo	    0
404.631893	0	decision_safe_solo	    0
414.685287	0	outcome_safe_solo	    0
417.220567	0	happiness_rating	   32
429.646685	0	options_social	  n/a
433.999685	0	decision_risky_social	 62.5
444.057651	0	outcome_other_pos_social	    0
455.633008	0	options_social	  n/a
458.904008	0	decision_risky_social	   25
467.95921	0	outcome_other_pos_social	    0
470.494443	0	happiness_rating	   26
479.084361	0	options_partner	    0
482.084361	0	decision_safe_partner	    0
487.157102	0	outcome_safe_partner	    0
494.729723	0	options_partner	  -30
497.729723	0	decision_safe_partner	  -30
502.935756	0	outcome_safe_partner	  -30
505.471042	0	happiness_rating	   26
512.443189	0	options_partner	  -30
515.443189	0	decision_safe_partner	  -30
519.081374	0	outcome_safe_partner	  -30
528.65555	0	options_partner	    0
531.65555	0	decision_safe_partner	    0
535.176962	0	outcome_safe_partner	    0
537.712265	0	happiness_rating	   24
545.618298	0	options_solo	  n/a
550.423298	0	decision_risky_solo	-12.5
556.476566	0	outcome_self_neg_solo	    0
565.049698	0	options_partner	  n/a
568.049698	0	decision_risky_partner	 13.5
571.704749	0	outcome_other_pos_partner	    0
574.240014	0	happiness_rating	   32
580.811681	0	options_solo	   30
585.646681	0	decision_safe_solo	   30
593.704946	0	outcome_safe_solo	   30
601.277263	0	options_partner	  n/a
604.277263	0	decision_risky_partner	    3
607.932361	0	outcome_other_pos_partner	    0
610.467647	0	happiness_rating	   24
622.126703	0	options_social	  n/a
626.990703	0	decision_risky_social	   37
638.038915	0	outcome_other_pos_social	    0
648.613325	0	options_solo	  -25
654.422325	0	decision_safe_solo	  -25
668.461839	0	outcome_safe_solo	  -25
670.997059	0	happiness_rating	   20
678.803156	0	options_partner	  n/a
681.803156	0	decision_risky_partner	-12.5
