onset	duration	trial_type	rewards
19	0	options_solo	  n/a
27.727	0	decision_risky_solo	    4
40.783528	0	outcome_self_neg_solo	    0
47.35521	0	options_solo	   25
53.32621	0	decision_safe_solo	   25
62.383271	0	outcome_safe_solo	   25
64.918504	0	happiness_rating	   26
72.274115	0	options_partner	   30
75.274115	0	decision_safe_partner	   30
81.381026	0	outcome_safe_partner	   30
89.95423	0	options_partner	  n/a
92.95423	0	decision_risky_partner	 52.5
96.309055	0	outcome_other_pos_partner	    0
98.84434	0	happiness_rating	   34
109.385628	0	options_social	  n/a
113.710628	0	decision_risky_social	  3.5
121.761842	0	outcome_other_neg_social	    0
135.322364	0	options_social	  n/a
142.190364	0	decision_risky_social	  -18
149.232763	0	outcome_other_neg_social	    0
151.767941	0	happiness_rating	   22
164.027223	0	options_solo	  -20
169.101223	0	decision_safe_solo	  -20
179.155472	0	outcome_safe_solo	  -20
187.72863	0	options_solo	  n/a
193.86263	0	decision_risky_solo	   -7
199.904598	0	outcome_self_neg_solo	    0
202.439849	0	happiness_rating	   34
214.548912	0	options_partner	  n/a
217.548912	0	decision_risky_partner	 16.5
223.756045	0	outcome_other_neg_partner	    0
236.31459	0	options_partner	  n/a
239.31459	0	decision_risky_partner	  8.5
244.705274	0	outcome_other_pos_partner	    0
247.24057	0	happiness_rating	   36
254.496105	0	options_partner	   20
257.496105	0	decision_safe_partner	   20
262.635614	0	outcome_safe_partner	   20
269.207341	0	options_solo	   20
273.445341	0	decision_safe_solo	   20
282.500738	0	outcome_safe_solo	   20
285.036025	0	happiness_rating	   32
296.494996	0	options_partner	   15
299.494996	0	decision_safe_partner	   15
304.734316	0	outcome_safe_partner	   15
311.305987	0	options_partner	  n/a
314.305987	0	decision_risky_partner	-12.5
319.962566	0	outcome_other_neg_partner	    0
322.497833	0	happiness_rating	   16
333.890386	0	options_solo	  n/a
336.804386	0	decision_risky_solo	  -10
344.848138	0	outcome_self_pos_solo	    0
353.421067	0	options_social	   30
356.933067	0	decision_safe_social	   30
366.965002	0	outcome_safe_social	   30
369.500279	0	happiness_rating	   20
377.422982	0	options_solo	  -30
383.155982	0	decision_safe_solo	  -30
393.201688	0	outcome_safe_solo	  -30
399.773295	0	options_social	  n/a
404.020295	0	decision_risky_social	  -18
410.064517	0	outcome_other_neg_social	    0
412.599723	0	happiness_rating	   12
426.710482	0	options_solo	   30
431.028482	0	decision_safe_solo	   30
441.088091	0	outcome_safe_solo	   30
448.660549	0	options_solo	  n/a
452.412549	0	decision_risky_solo	 24.5
460.469556	0	outcome_self_pos_solo	    0
463.004734	0	happiness_rating	   18
472.495378	0	options_social	  n/a
477.084378	0	decision_risky_social	    3
483.136717	0	outcome_other_neg_social	    0
493.711434	0	options_partner	  -25
496.711434	0	decision_safe_partner	  -25
501.617432	0	outcome_safe_partner	  -25
504.15271	0	happiness_rating	   22
510.640988	0	options_social	  n/a
513.235988	0	decision_risky_social	   75
519.280876	0	outcome_other_pos_social	    0
526.853306	0	options_social	    0
529.275306	0	decision_safe_social	    0
