onset	duration	trial_type	rewards
19	0	options_social	  n/a
22.477	0	decision_risky_social	-33.5
29.524748	0	outcome_other_pos_social	    0
42.084242	0	options_partner	  n/a
45.084242	0	decision_risky_partner	    7
48.939508	0	outcome_other_neg_partner	    0
51.474782	0	happiness_rating	   12
58.847156	0	options_partner	  n/a
61.847156	0	decision_risky_partner	 39.5
66.185834	0	outcome_other_neg_partner	    0
72.757639	0	options_solo	  -25
80.084639	0	decision_safe_solo	  -25
87.135341	0	outcome_safe_solo	  -25
89.67056	0	happiness_rating	   32
96.926103	0	options_partner	  n/a
99.926103	0	decision_risky_partner	  4.5
103.581102	0	outcome_other_neg_partner	    0
110.152803	0	options_partner	  -25
113.152803	0	decision_safe_partner	  -25
116.99131	0	outcome_safe_partner	  -25
119.526611	0	happiness_rating	   26
127.849707	0	options_partner	  -15
130.849707	0	decision_safe_partner	  -15
135.355324	0	outcome_safe_partner	  -15
142.927796	0	options_partner	   10
145.927796	0	decision_safe_partner	   10
149.466114	0	outcome_safe_partner	   10
152.001358	0	happiness_rating	   22
158.756734	0	options_partner	    0
161.756734	0	decision_safe_partner	    0
165.695091	0	outcome_safe_partner	    0
177.270619	0	options_solo	  -15
184.236619	0	decision_safe_solo	  -15
191.281329	0	outcome_safe_solo	  -15
193.816535	0	happiness_rating	   30
203.34083	0	options_partner	  -20
206.34083	0	decision_safe_partner	  -20
210.128991	0	outcome_safe_partner	  -20
219.703199	0	options_solo	    0
221.868199	0	decision_safe_solo	    0
230.928172	0	outcome_safe_solo	    0
233.463417	0	happiness_rating	   28
242.954036	0	options_solo	  n/a
246.780036	0	decision_risky_solo	   16
253.829085	0	outcome_self_neg_solo	    0
264.403674	0	options_partner	  n/a
267.403674	0	decision_risky_partner	  -18
271.225496	0	outcome_other_pos_partner	    0
273.760825	0	happiness_rating	   30
282.317586	0	options_partner	   25
285.317586	0	decision_safe_partner	   25
288.672146	0	outcome_safe_partner	   25
299.247105	0	options_solo	  -30
303.364105	0	decision_safe_solo	  -30
313.424321	0	outcome_safe_solo	  -30
315.959587	0	happiness_rating	   30
327.218185	0	options_solo	  n/a
331.428185	0	decision_risky_solo	    1
340.478287	0	outcome_self_pos_solo	    0
349.051492	0	options_solo	    0
351.499492	0	decision_safe_solo	    0
360.560259	0	outcome_safe_solo	    0
363.095507	0	happiness_rating	   38
371.652041	0	options_solo	  -10
374.867041	0	decision_safe_solo	  -10
380.925881	0	outcome_safe_solo	  -10
389.499061	0	options_solo	  n/a
392.571061	0	decision_risky_solo	   31
399.623428	0	outcome_self_pos_solo	    0
402.15862	0	happiness_rating	    1
414.801702	0	options_partner	    0
417.801702	0	decision_safe_partner	    0
421.606854	0	outcome_safe_partner	    0
429.17923	0	options_social	  n/a
432.57123	0	decision_risky_social	 52.5
438.619826	0	outcome_other_neg_social	    0
441.155027	0	happiness_rating	    8
448.677322	0	options_solo	  n/a
451.363322	0	decision_risky_solo	   21
458.418239	0	outcome_self_pos_solo	    0
470.994343	0	options_partner	  -20
473.994343	0	decision_safe_partner	  -20
477.699544	0	outcome_safe_partner	  -20
480.234859	0	happiness_rating	   36
489.525492	0	options_partner	  n/a
492.525492	0	decision_risky_partner	   28
495.99683	0	outcome_other_neg_partner	    0
507.572594	0	options_social	  n/a
509.810594	0	decision_risky_social	   25
517.863492	0	outcome_other_neg_social	    0
520.398775	0	happiness_rating	   30
527.554226	0	options_social	  -15
531.123226	0	decision_safe_social	  -15
539.179853	0	outcome_safe_social	  -15
545.751457	0	options_solo	  n/a
549.082457	0	decision_risky_solo	    6
557.143558	0	outcome_self_pos_solo	    0
559.678737	0	happiness_rating	   14
566.967737	0	options_partner	  n/a
569.967737	0	decision_risky_partner	    6
573.656038	0	outcome_other_neg_partner	    0
583.23019	0	options_solo	  -15
588.96219	0	decision_safe_solo	  -15
600.009694	0	outcome_safe_solo	  -15
602.544766	0	happiness_rating	   30
610.083839	0	options_social	  n/a
613.745839	0	decision_risky_social	   18
623.794362	0	outcome_other_neg_social	    0
632.36756	0	options_social	  n/a
635.41056	0	decision_risky_social	   28
641.45784	0	outcome_other_neg_social	    0
643.993059	0	happiness_rating	   12
648.930508	0	options_social	    0
653.889508	0	decision_safe_social	    0
662.940983	0	outcome_safe_social	    0
671.514028	0	options_social	  n/a
673.778028	0	decision_risky_social	 31.5
680.83788	0	outcome_other_neg_social	    0
683.373036	0	happiness_rating	   14
690.41169	0	options_social	  -30
695.72169	0	decision_safe_social	  -30
702.771257	0	outcome_safe_social	  -30
708.342047	0	options_solo	  n/a
711.794047	0	decision_risky_solo	   27
718.85016	0	outcome_self_pos_solo	    0
721.385389	0	happiness_rating	   26
732.343989	0	options_partner	  n/a
735.343989	0	decision_risky_partner	  -17
740.483137	0	outcome_other_pos_partner	    0
751.058322	0	options_social	    0
753.505322	0	decision_safe_social	    0
763.567546	0	outcome_safe_social	    0
766.1028	0	happiness_rating	   32
773.691923	0	options_social	  n/a
777.432923	0	decision_risky_social	    5
788.486531	0	outcome_other_pos_social	    0
794.057478	0	options_solo	  n/a
796.929478	0	decision_risky_solo	   11
804.982445	0	outcome_self_neg_solo	    0
807.517733	0	happiness_rating	   38
818.009118	0	options_partner	   30
821.009118	0	decision_safe_partner	   30
