onset	duration	trial_type	rewards
18	0	options_solo	 -10
27.662	0	decision_safe_solo	 -10
36.700055	0	outcome_safe_solo	 -10
47.266764	0	options_partner	 n/a
50.266764	0	decision_risky_partner	  42
56.366777	0	outcome_other_neg_partner	   0
58.900127	0	happiness_rating	  36
76.51685	0	options_partner	  20
79.51685	0	decision_safe_partner	  20
84.833541	0	outcome_safe_partner	  20
91.400218	0	options_solo	 n/a
98.302218	0	decision_risky_solo	  22
110.350283	0	outcome_self_pos_solo	   0
112.883611	0	happiness_rating	  32
128.917005	0	options_partner	 n/a
131.917005	0	decision_risky_partner	   8
137.617023	0	outcome_other_neg_partner	   0
145.183718	0	options_solo	 n/a
151.453718	0	decision_risky_solo	52.5
158.500422	0	outcome_self_pos_solo	   0
161.033758	0	happiness_rating	  30
175.250453	0	options_partner	 n/a
178.250453	0	decision_risky_partner	  25
183.833819	0	outcome_other_neg_partner	   0
191.400509	0	options_social	 -30
201.509509	0	decision_safe_social	 -30
209.55056	0	outcome_safe_social	 -30
212.0839	0	happiness_rating	  34
227.800603	0	options_social	 n/a
234.397603	0	decision_risky_social	 -20
241.450643	0	outcome_other_pos_social	   0
252.017334	0	options_partner	 n/a
255.017334	0	decision_risky_partner	  42
261.750684	0	outcome_other_neg_partner	   0
264.284038	0	happiness_rating	  32
277.767405	0	options_solo	 n/a
285.861405	0	decision_risky_solo	  -7
291.900771	0	outcome_self_neg_solo	   0
300.467459	0	options_social	 n/a
307.701459	0	decision_risky_social	  25
315.750836	0	outcome_other_neg_social	   0
318.284171	0	happiness_rating	  30
334.73423	0	options_social	 n/a
341.06923	0	decision_risky_social	  25
347.117583	0	outcome_other_neg_social	   0
356.68427	0	options_social	  25
363.51727	0	decision_safe_social	  25
371.567646	0	outcome_safe_social	  25
374.100982	0	happiness_rating	  34
387.684343	0	options_social	 n/a
393.061343	0	decision_risky_social	 -21
401.10105	0	outcome_other_pos_social	   0
407.667723	0	options_partner	 n/a
410.667723	0	decision_risky_partner	  14
415.751081	0	outcome_other_neg_partner	   0
418.284415	0	happiness_rating	  32
429.684444	0	options_solo	  20
435.797444	0	decision_safe_solo	  20
443.83448	0	outcome_safe_solo	  20
453.401183	0	options_social	 n/a
462.973183	0	decision_risky_social	 -22
471.017877	0	outcome_other_neg_social	   0
473.551219	0	happiness_rating	  34
486.53459	0	options_partner	   0
